site_1,Changing gemport for CHG3GHBECDSBXXQQ from site_1,2024-10-27 17:32:50_586
site_1,Changing s vlan for 3R0FKTS6IXXFL7FP from site_1,2024-10-27 17:33:02_619
site_1,Changing gemport for XN0U6U4Y6YLW4SSM from site_1,2024-10-27 17:34:01_234
site_1,Changing c vlan for NRGMK8MQ3SKLQ6F2 from site_1,2024-10-27 17:34:20_820
site_1,Changing vlan type for 2VUT6UYDMAQJZ03X from site_1,2024-10-27 17:34:33_362
site_1,Changing vlan type for A1GX7PCJ0JZPTH4I from site_1,2024-10-27 17:34:45_484
site_1,Unregistering 0F2X15MR8N78PL8K from site_1,2024-10-27 17:34:58_241
site_1,Changing vlan type for Z6HBPUPWOABSJ9O9 from site_1,2024-10-27 17:36:10_599
site_1,Changing snmp profile for TERO92NKTU3A6P25 from site_1,2024-10-27 17:36:27_272
site_1,Unregistering JHAH96FX5LIO6C8M from site_1,2024-10-27 17:37:42_608
site_1,Unregistering GSJEOEUR4X29OHT6 from site_1,2024-10-27 17:38:29_222
site_1,Changing snmp profile for ER7CTN5Y1I1PPVAD from site_1,2024-10-27 17:39:11_764
site_1,Changing gemport for 65BTJWIW8XFM625H from site_1,2024-10-27 17:39:19_140
site_1,Changing snmp profile for K2VYEZCU6SVBE3LW from site_1,2024-10-27 17:39:56_362
site_1,Changing gemport for SHM2K4PFBR7QH6KO from site_1,2024-10-27 17:40:09_136
site_1,Changing gemport for SH9WKFGEL2SCEQRO from site_1,2024-10-27 17:40:23_088
site_1,Changing s vlan for 5CQ70PIX4L02NAUC from site_1,2024-10-27 17:41:39_872
site_1,Changing state of radius from site_1,2024-10-27 17:42:06_186
site_1,Changing vlan type for 71RR2I8ZVCG84WHG from site_1,2024-10-27 17:43:50_348
site_1,Changing state of ssh from site_1,2024-10-27 17:43:50_740
site_1,Changing gemport for I9TL68S2J7XNF2L6 from site_1,2024-10-27 17:44:24_452
site_1,Changing state of ntp6 from site_1,2024-10-27 17:45:02_813
site_1,Changing state of telnetv6 from site_1,2024-10-27 17:45:22_453
site_1,Changing vlan type for J6N88GDV24H8Q7RK from site_1,2024-10-27 17:45:47_173
site_1,Changing snmp profile for P539Z31E7W053S59 from site_1,2024-10-27 17:46:47_999
site_1,Changing gemport for Y88MXV0Z00T12NPC from site_1,2024-10-27 17:48:31_116
site_1,Changing vlan type for 47KZJSG2D9QPXALC from site_1,2024-10-27 17:48:36_344
site_1,Changing gemport for KBQQ72AQOA1NNELP from site_1,2024-10-27 17:49:32_861
site_1,Changing vlan type for FDQY8IR122NOVL35 from site_1,2024-10-27 17:49:53_652
site_1,Unregistering BFV9HWMPZ7RK399T from site_1,2024-10-27 17:50:28_485
site_1,Changing snmp profile for FTTWTEVRB7ALS34B from site_1,2024-10-27 17:50:32_150
site_1,Changing gemport for 7OZQDAQD0SLIROA8 from site_1,2024-10-27 17:51:23_495
site_1,Changing s vlan for VBW50PLC59PMX25D from site_1,2024-10-27 17:52:09_724
site_1,Changing state of netconf from site_1,2024-10-27 17:53:00_630
site_1,Changing snmp profile for 6Y5NH29N9IZ55DD4 from site_1,2024-10-27 17:55:09_729
site_1,Changing vlan type for OCEEB9YWPAGT70CT from site_1,2024-10-27 17:56:31_264
site_1,Changing s vlan for O1CKIAPKW6KTZYOV from site_1,2024-10-27 17:56:37_704
site_1,Changing snmp profile for 0A917RSZI450NGOY from site_1,2024-10-27 17:57:24_142
site_1,Changing s vlan for EDYIS1E1WG5NQFIT from site_1,2024-10-27 17:57:26_171
site_1,Changing vlan type for OFN9AQTE4OJSTRCQ from site_1,2024-10-27 17:57:37_582
site_1,Changing c vlan for OFN9AQTE4OJSTRCQ from site_1,2024-10-27 17:59:20_864
site_1,Changing snmp profile for 6HSWADUQ0PFKSVIU from site_1,2024-10-27 17:59:31_336
site_1,Changing s vlan for WNF6ILOOEI81RHZ1 from site_1,2024-10-27 17:59:43_169
site_1,Changing state of telnetv6 from site_1,2024-10-27 18:00:40_117
site_1,Changing snmp profile for 0271CENEY6O0KXU9 from site_1,2024-10-27 18:00:47_440
site_1,Changing gemport for 7OZQDAQD0SLIROA8 from site_1,2024-10-27 18:02:21_057
site_1,Unregistering 9XWHK2Q1I8CA2KML from site_1,2024-10-27 18:02:55_515
site_1,Changing gemport for O3H39X3HTL7OUR4J from site_1,2024-10-27 18:03:36_174
site_1,Changing vlan type for SHM2K4PFBR7QH6KO from site_1,2024-10-27 18:03:59_455
site_1,Unregistering PBGQS00OGJABDGOQ from site_1,2024-10-27 18:05:02_923
site_1,Changing vlan type for MALSDNW67S8ZRJ81 from site_1,2024-10-27 18:05:06_130
site_1,Changing gemport for FWG9FRROZ3UDQ0GT from site_1,2024-10-27 18:05:24_793
site_1,Changing s vlan for FG5D75FJZY4ZKN7N from site_1,2024-10-27 18:06:04_173
site_1,Changing s vlan for 3387ZG0ZXHOSYIN1 from site_1,2024-10-27 18:06:25_676
site_1,Changing state of ntp from site_1,2024-10-27 18:06:45_689
site_1,Unregistering PHF1HHUREFH27B74 from site_1,2024-10-27 18:07:27_991
site_1,Unregistering P5M43UM9HSSVC1CW from site_1,2024-10-27 18:08:22_110
site_1,Changing state of mqtt from site_1,2024-10-27 18:10:06_348
site_1,Changing vlan type for N59KZBZBID12VC0L from site_1,2024-10-27 18:10:13_073
site_1,Changing gemport for OW8UUTYSDVXXX1VC from site_1,2024-10-27 18:10:25_606
site_1,Unregistering Z9PR8M6O4R6OSZ7Q from site_1,2024-10-27 18:11:30_780
site_1,Changing s vlan for 0FGDV9KVV1JEVFQJ from site_1,2024-10-27 18:11:54_292
site_1,Changing state of telnetv6 from site_1,2024-10-27 18:12:29_725
site_1,Changing vlan type for 6YKKXWASN06MAIPU from site_1,2024-10-27 18:12:30_402
site_1,Changing s vlan for KBQQ72AQOA1NNELP from site_1,2024-10-27 18:14:42_359
site_1,Changing snmp profile for AB4BFT3Y8ZX9O4XE from site_1,2024-10-27 18:15:20_630
site_1,Changing gemport for 4NMPSH5NTB5IWQTO from site_1,2024-10-27 18:16:33_958
site_1,Changing gemport for XZ4YTBKNMD5U90ZH from site_1,2024-10-27 18:16:50_022
site_1,Changing snmp profile for WL45M7BTCRVSHJDO from site_1,2024-10-27 18:17:08_880
site_1,Changing state of ipdr from site_1,2024-10-27 18:18:16_072
site_1,Changing vlan type for LBCNVV6IZHA2KD3K from site_1,2024-10-27 18:18:32_147
site_1,Unregistering B4XU99VGVMYM4QAE from site_1,2024-10-27 18:18:34_007
site_1,Changing gemport for UXX7VVJF57FWM52V from site_1,2024-10-27 18:19:38_354
site_1,Changing vlan type for 87D7YFO9MYDUOMQK from site_1,2024-10-27 18:19:58_103
site_1,Changing snmp profile for CHG3GHBECDSBXXQQ from site_1,2024-10-27 18:20:15_324
site_1,Changing gemport for FRLRTKWFDE1JMYTJ from site_1,2024-10-27 18:20:35_723
site_1,Unregistering R6HBAJZAIRWQZOWH from site_1,2024-10-27 18:20:51_717
site_1,Changing state of trace from site_1,2024-10-27 18:21:17_546
site_1,Connection error,2024-10-27 18:22:29_745
_,Exiting chaos monkey,2024-10-27 18:22:29_745
