site_1,Changing voltage for XYT6RJR5VYDS361R from site_1 to set_normal_voltage,2024-11-13 11:11:21_870
site_2,Changing voltage for ILUMB0OO54XQZVKS from site_2 to set_low_voltage,2024-11-13 11:11:26_311
site_1,Changing voltage for 0LVPKOTQVJL6F8M3 from site_1 to set_high_voltage,2024-11-13 11:11:29_511
site_1,Changing board state to Standby_failed,2024-11-13 11:11:32_393
site_1,Changing board state to Standby_active,2024-11-13 11:11:52_119
site_3,Changing board state to Standby_active,2024-11-13 11:12:10_049
site_3,Changing voltage for 398E2JF8ANZ5ZXD9 from site_3 to set_high_voltage,2024-11-13 11:12:15_825
site_2,Changing board state to Standby_failed,2024-11-13 11:12:20_688
site_2,Changing voltage for QHXF7V2P0ONX34XA from site_2 to set_low_voltage,2024-11-13 11:12:23_733
site_3,Changing voltage for 8VKV127F5FX4C3PC from site_3 to set_high_voltage,2024-11-13 11:12:30_187
site_2,Changing board state to Standby_active,2024-11-13 11:12:49_364
site_3,Changing board state to Standby_failed,2024-11-13 11:12:52_944
site_1,Changing board state to Standby_failed,2024-11-13 11:13:08_295
site_2,Changing voltage for ZIMX08633FYGMIOC from site_2 to set_normal_voltage,2024-11-13 11:13:27_839
site_1,Changing voltage for XV8R5XDGVYUKDD7W from site_1 to set_high_voltage,2024-11-13 11:13:34_105
site_2,Changing voltage for 66X32LBS6T3JH6RM from site_2 to set_low_voltage,2024-11-13 11:13:49_262
site_3,Changing voltage for SZU56ML50KHJHX72 from site_3 to set_normal_voltage,2024-11-13 11:13:57_090
site_1,Changing board state to Standby_active,2024-11-13 11:14:03_924
site_3,Changing voltage for 76IELDRSA61GJ6YD from site_3 to set_high_voltage,2024-11-13 11:14:26_567
site_1,Changing board state to Standby_failed,2024-11-13 11:14:31_631
site_2,Changing board state to Standby_failed,2024-11-13 11:14:35_904
site_1,Changing board state to Standby_active,2024-11-13 11:14:36_375
site_1,Changing voltage for ESG3MP8BPNG1GL99 from site_1 to set_normal_voltage,2024-11-13 11:14:51_731
