timestamp,uuid,site,fixed_detected,event_type,sn
2024-12-07 14:29:25_674,6d996f1d-57ff-424a-a889-b1504fa76f88,site_1,fixed,service changed,dhcp-relay
2024-12-07 14:29:31_708,965adcb4-fe43-4cfc-9c91-e049395b8bee,site_6,fixed,service changed,capwap
2024-12-07 14:29:42_732,744f635d-2fb3-4400-b79f-aa291d03a04e,site_3,detected,service changed,portal
2024-12-07 14:29:51_793,4e182821-8a1a-45e9-94da-4ec5f0b40b61,site_7,fixed,s_vlan,LDD0H2AT9VO9KBSU
2024-12-07 14:29:59_837,688c9af2-6f6b-40c4-a6ca-b89bce8ac5f6,site_7,fixed,gemport,CNTT208G2DNU5FGI
2024-12-07 14:30:01_844,744f635d-2fb3-4400-b79f-aa291d03a04e,site_3,fixed,service changed,portal
2024-12-07 14:30:18_881,d3903dc3-2a90-49a9-bc5e-981da35fd962,site_7,fixed,c_vlan,2WMGR015ZSEQRWQ4
2024-12-07 14:30:27_067,7c7872b3-9a97-4e98-8ca8-2ed1a8072a1c,site_7,detected,c_vlan,0076KR8S77FO53P5
2024-12-07 14:30:27_068,877b8e19-e3c9-4d7f-bf39-e0ed906a61bb,site_7,detected,c_vlan,3EW0CWX46TAPWDZ3
2024-12-07 14:30:27_069,d36dbb55-b526-4a18-848b-726c85cb3ef6,site_7,detected,c_vlan,P3D20LT6DTV7R1RS
2024-12-07 14:30:27_069,2e364b2c-2d0e-46a4-aec9-d915b36f5f3c,site_7,detected,c_vlan,CC37AG5XN1VLWYST
2024-12-07 14:30:27_076,93a46709-10ec-4448-bc6d-0cbee59f3574,site_7,detected,s_vlan,JICDZRAF72U9MZOB
2024-12-07 14:30:27_089,4ab737af-9970-4c9a-b8ed-6478c157b1bb,site_7,detected,vlan_type,EVJCGOKASVBO85S7
2024-12-07 14:30:30_471,142bf5b7-78d3-44e5-86ed-90a524baa8b1,site_7,detected,service changed,ftp-client
2024-12-07 14:30:30_471,b3894a38-63a8-46de-bdaa-4c27c3cce7b1,site_7,detected,service changed,ssh
